mann,expansion_coeff,alpha_method,sf_method,max_abs,mean_abs,rmse
1.34,0.1,conveyance,combined,1.738410465136326,0.8472999593226632,1.0621231639553301
1.34,0.1,conveyance,avg,1.5625257601611793,0.7769460773326046,0.9712183391366567
1.34,0.1,area,combined,1.7556162498084404,0.854182273191509,1.071221903934131
1.34,0.1,area,avg,1.562525760710173,0.776946077552202,0.9712183395425301
1.36,0.0,conveyance,combined,1.5861321976262843,0.7816674528614385,0.9880348672593648
1.36,0.0,conveyance,avg,1.5861317750828903,0.7816672838440809,0.9880344376424204
1.36,0.0,area,combined,1.5861321976262843,0.7816674528614385,0.9880348672593648
1.36,0.0,area,avg,1.5861317755590107,0.7816672840345291,0.9880344379975278
1.36,0.02,conveyance,combined,1.5861321976262843,0.7816674528614385,0.9880348672593648
1.36,0.02,conveyance,avg,1.586131776034108,0.781667284224568,0.9880344383518719
1.36,0.02,area,combined,1.478933528237576,0.7387879851059551,0.9347031891746419
1.36,0.02,area,avg,1.5861317765195508,0.7816672844187451,0.9880344387139322
1.36,0.05,conveyance,combined,1.6660755038620891,0.8136447753557604,1.02891614302284
1.36,0.05,conveyance,avg,1.5861317774601957,0.781667284795003,0.988034439415498
1.36,0.05,area,combined,1.6881725499265485,0.8224835937815442,1.0403661821033994
1.36,0.05,area,avg,1.5861317779595083,0.7816672849947282,0.9880344397879027
1.36,0.1,conveyance,combined,1.8264983231259748,0.8778139030613147,1.1133537766638057
1.36,0.1,conveyance,avg,1.586131779834318,0.7816672857446519,0.9880344411862013
1.36,0.1,area,combined,1.8412299770259324,0.8837065646212977,1.121249192404017
1.36,0.1,area,avg,1.586131780356709,0.7816672859536083,0.9880344415758188
1.38,0.0,conveyance,combined,1.4580105358558058,0.7258086757421097,0.9299058644013757
1.38,0.0,conveyance,avg,1.6091823583635687,0.7862774047452149,1.0047185086732786
1.38,0.0,area,combined,1.5344872407674757,0.7563993577067777,0.9672953033397638
1.38,0.0,area,avg,1.6091823588051284,0.7862774049218387,1.0047185090052448
1.38,0.02,conveyance,combined,1.6522494249302326,0.8035042313718804,1.0266640484426548
1.38,0.02,conveyance,avg,1.6091823593453682,0.7862774051379346,1.004718509411399
1.38,0.02,area,combined,1.676954924619622,0.8133864312476362,1.0393660743192619
1.38,0.02,area,avg,1.6091823597955681,0.7862774053180146,1.004718509749861
1.38,0.05,conveyance,combined,1.773845078203749,0.852142492681287,1.089914412047603
1.38,0.05,conveyance,avg,1.609182360817158,0.7862774057266506,1.0047185105178962
1.38,0.05,area,combined,1.7909644730393666,0.858990250615534,1.0989592442171439
1.38,0.05,area,avg,1.6091823612800908,0.7862774059118237,1.0047185108659307
1.38,0.1,conveyance,combined,1.9016375076744225,0.9032594644695564,1.158170225735835
1.38,0.1,conveyance,avg,1.609182363267223,0.7862774067066767,1.004718512359864
1.38,0.1,area,combined,1.91484649548147,0.9085430595923754,1.1653170214609756
1.38,0.1,area,avg,1.609182363751529,0.786277406900399,1.004718512723967
1.4,0.0,conveyance,combined,1.6825204339891116,0.8117760957102291,1.0471389650856173
1.4,0.0,conveyance,avg,1.6313997870500998,0.7913274934629954,1.0210340558520248
1.4,0.0,area,combined,1.706166316353574,0.8212344486560141,1.05932989911223
1.4,0.0,area,avg,1.6313997874535744,0.791327493785775,1.021034056157535
1.4,0.02,conveyance,combined,1.768127764519022,0.8460190279221933,1.091601000279265
1.4,0.02,conveyance,avg,1.6313997880608895,0.7913274942716271,1.0210340566173928
1.4,0.02,area,combined,1.7862583095494529,0.8532712459343657,1.1011287417803657
1.4,0.02,area,avg,1.6313997884720948,0.7913274946005913,1.0210340569287566
1.4,0.05,conveyance,combined,1.8590491152658615,0.8823875682209291,1.1397404907670547
1.4,0.05,conveyance,avg,1.6313997895758803,0.7913274954836197,1.021034057764541
1.4,0.05,area,combined,1.8737293103620232,0.8882596462593938,1.1475939422916976
1.4,0.05,area,avg,1.6313997899987953,0.7913274958219517,1.0210340580847712
1.4,0.1,conveyance,combined,1.9680401638355534,0.9259839876488059,1.198535466674465
1.4,0.1,conveyance,avg,1.6313997920976817,0.7913274975010609,1.021034059674044
1.4,0.1,area,combined,1.9802013439534676,0.9308484596959715,1.205162415593622
1.4,0.1,area,avg,1.6313993157027653,0.791327307119991,1.0210338181746599
1.42,0.0,conveyance,combined,1.792903343915782,0.8602616544768807,1.1093965537606645
1.42,0.0,conveyance,avg,1.6530617795630178,0.8043246926773463,1.0371528517430013
1.42,0.0,area,combined,1.8106517955213803,0.8673610351191201,1.1187319878705535
1.42,0.0,area,avg,1.653061779925224,0.8043246929671113,1.0371528520190527
1.42,0.02,conveyance,combined,1.856570139020505,0.8857283725187699,1.1430421242957773
1.42,0.02,conveyance,avg,1.653061780601547,0.8043246935081697,1.0371528525345048
1.42,0.02,area,combined,1.871811614354442,0.8918249626523448,1.1511597524873876
1.42,0.02,area,avg,1.653061780970802,0.8043246938035736,1.0371528528159284
1.42,0.05,conveyance,combined,1.9318244405066025,0.915830093113209,1.1833446745945368
1.42,0.05,conveyance,avg,1.6530617821579199,0.804324694753268,1.0371528537206773
1.42,0.05,area,combined,1.9449963743127228,0.921098866635657,1.190454294254597
1.42,0.05,area,avg,1.653061782537634,0.8043246950570392,1.037152854010072
1.42,0.1,conveyance,combined,2.0281591993440315,0.9543639966481805,1.235694166964419
1.42,0.1,conveyance,avg,1.65306130791123,0.8043245060907793,1.0371526136354738
1.42,0.1,area,combined,2.039544682115661,0.9589181897568324,1.2419328781175103
1.42,0.1,area,avg,1.653061308308338,0.8043245064084659,1.0371526139381253
1.44,0.0,conveyance,combined,1.8787856382851942,0.898946967020629,1.1596847264913501
1.44,0.0,conveyance,avg,1.6747237726146977,0.8173218923227068,1.053470463248088
1.44,0.0,area,combined,1.8938030301062554,0.9049539237490535,1.1676831270767967
1.44,0.0,area,avg,1.6747237729339304,0.817321892578093,1.0534704634928704
1.44,0.02,conveyance,combined,1.9312554920285265,0.919934908517962,1.1877268890375778
